#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Bifidobacterium longum","Bacteria;Terrabacteria group;Actinobacteria","DSM 20219","SAMN04489748","PRJEB16393","GCA_900104835.1","Contig",2.44902,60.3,,"FNRW01",6,1896,"2016-10-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/104/835/GCA_900104835.1_IMG-taxon_2634166334_annotated_assembly","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/104/835/GCF_900104835.1_IMG-taxon_2634166334_annotated_assembly"
"Bifidobacterium longum","Bacteria;Terrabacteria group;Actinobacteria","JSRL 03","SAMN13440971","PRJNA592839","GCA_009741385.1","Contig",2.27299,60.2,,"WOWU01",3,1774,"2019-12-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/741/385/GCA_009741385.1_ASM974138v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/741/385/GCF_009741385.1_ASM974138v1"
"Bifidobacterium longum","Bacteria;Terrabacteria group;Actinobacteria","DS7_3","SAMN06464099","PRJNA336518","GCA_003094975.1","Contig",2.23729,60,,"QDIG01",17,1765,"2018-05-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/094/975/GCA_003094975.1_ASM309497v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/094/975/GCF_003094975.1_ASM309497v1"
"Bifidobacterium longum","Bacteria;Terrabacteria group;Actinobacteria","AM39-10AC","SAMN09736509","PRJNA482748","GCA_003468265.1","Scaffold",2.23371,60,,"QSGY01",14,1727,"2018-09-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/468/265/GCA_003468265.1_ASM346826v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/468/265/GCF_003468265.1_ASM346826v1"
"Bifidobacterium longum","Bacteria;Terrabacteria group;Actinobacteria","DS9_3","SAMN06464100","PRJNA336518","GCA_003094635.1","Contig",2.39717,59.9,,"QDIF01",13,1955,"2018-05-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/094/635/GCA_003094635.1_ASM309463v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/094/635/GCF_003094635.1_ASM309463v1"
"Bifidobacterium longum D2957","Bacteria;Terrabacteria group;Actinobacteria","D2957","SAMN02472064","PRJNA191039","GCA_000478525.1","Contig",2.33023,60.4,,"AQGL01",13,1812,"2013-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/478/525/GCA_000478525.1_blongD2957","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/478/525/GCF_000478525.1_blongD2957"
"Bifidobacterium longum","Bacteria;Terrabacteria group;Actinobacteria","DS15_3","SAMN06464097","PRJNA336518","GCA_003094855.1","Contig",2.39818,59.9,,"QDIQ01",21,1956,"2018-05-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/094/855/GCA_003094855.1_ASM309485v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/094/855/GCF_003094855.1_ASM309485v1"
"Bifidobacterium longum","Bacteria;Terrabacteria group;Actinobacteria","AM39-8AC","SAMN09736517","PRJNA482748","GCA_003467395.1","Scaffold",2.34569,60.1,,"QSGR01",14,1862,"2018-09-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/467/395/GCA_003467395.1_ASM346739v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/467/395/GCF_003467395.1_ASM346739v1"
"Bifidobacterium longum","Bacteria;Terrabacteria group;Actinobacteria","TF08-4AC","SAMN09736919","PRJNA482748","GCA_003437695.1","Scaffold",2.4296,60.1,,"QSRH01",22,1927,"2018-08-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/437/695/GCA_003437695.1_ASM343769v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/437/695/GCF_003437695.1_ASM343769v1"
"Bifidobacterium longum","Bacteria;Terrabacteria group;Actinobacteria","AF05-2","SAMN09734186","PRJNA482748","GCA_003465635.1","Scaffold",2.42691,60.4,,"QSBF01",21,1978,"2018-09-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/465/635/GCA_003465635.1_ASM346563v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/465/635/GCF_003465635.1_ASM346563v1"
