OTU	C11_WGSerr_r1.sorted.bam	C11_WGSerr_r0.sorted.bam	C13_WGSerr_r1.sorted.bam	C1_WGSerr_r1.sorted.bam	C2_WGSerr_r0.sorted.bam	C9_WGSerr_r2.sorted.bam	C14_WGSerr_r1.sorted.bam	C11_WGSerr_r2.sorted.bam	C20_WGSerr_r0.sorted.bam	C6_WGSerr_r2.sorted.bam	C12_WGSerr_r2.sorted.bam	C19_WGSerr_r2.sorted.bam	C17_WGSerr_r0.sorted.bam	C15_WGSerr_r0.sorted.bam	C12_WGSerr_r0.sorted.bam	C12_WGSerr_r1.sorted.bam	C7_WGSerr_r1.sorted.bam	C3_WGSerr_r2.sorted.bam	C9_WGSerr_r0.sorted.bam	C10_WGSerr_r0.sorted.bam	C13_WGSerr_r0.sorted.bam	C17_WGSerr_r1.sorted.bam	C20_WGSerr_r1.sorted.bam	C1_WGSerr_r2.sorted.bam	C10_WGSerr_r2.sorted.bam	C5_WGSerr_r0.sorted.bam	C19_WGSerr_r1.sorted.bam	C2_WGSerr_r2.sorted.bam	C16_WGSerr_r2.sorted.bam	C8_WGSerr_r0.sorted.bam	C14_WGSerr_r0.sorted.bam	C19_WGSerr_r0.sorted.bam	C3_WGSerr_r0.sorted.bam	C13_WGSerr_r2.sorted.bam	C15_WGSerr_r1.sorted.bam	C14_WGSerr_r2.sorted.bam	C7_WGSerr_r0.sorted.bam	C9_WGSerr_r1.sorted.bam	C8_WGSerr_r1.sorted.bam	C5_WGSerr_r2.sorted.bam	C4_WGSerr_r1.sorted.bam	C17_WGSerr_r2.sorted.bam	C18_WGSerr_r1.sorted.bam	C4_WGSerr_r2.sorted.bam	C6_WGSerr_r0.sorted.bam	C3_WGSerr_r1.sorted.bam	C16_WGSerr_r0.sorted.bam	C10_WGSerr_r1.sorted.bam	C4_WGSerr_r0.sorted.bam	C16_WGSerr_r1.sorted.bam	C20_WGSerr_r2.sorted.bam	C15_WGSerr_r2.sorted.bam	C1_WGSerr_r0.sorted.bam	C8_WGSerr_r2.sorted.bam	C18_WGSerr_r2.sorted.bam	C7_WGSerr_r2.sorted.bam	C6_WGSerr_r1.sorted.bam	C2_WGSerr_r1.sorted.bam	C18_WGSerr_r0.sorted.bam	C5_WGSerr_r1.sorted.bam
GCF_000017745.1_ASM1774v1_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000027125.1_ASM2712v1_genomic.fna	0	0	0	0	0.001019	0	0	0.000806	0.00129	0	0.000295	0.000776	0.000795	0.001783	0	0	0	0.000567	9.4e-05	0	0	0.000158	0.000655	0	0.002456	0	0	0.000212	0.000135	0.001607	0	0	0	0.001053	0.000714	0	0	0.001004	0	0	0	0	0.001498	0	0	0	0	0.000705	0.000495	0	0.000294	0	0	0	0.00021	0	0	0	0	0
GCF_000158395.1_ASM15839v1_genomic.fna	0.011016	0.010328	0.012174	0.018685	0.017882	0.020131	0.010406	0.010097	0.009632	0.023941	0.013686	0.010136	0.008157	0.005861	0.01356	0.014762	0.014346	0.007781	0.020232	0.005727	0.014313	0.007173	0.00912	0.021017	0.006711	0.019982	0.008608	0.019615	0.013449	0.015615	0.005742	0.005265	0.009393	0.012628	0.007887	0.011604	0.015738	0.014423	0.014108	0.016869	0.002027	0.006778	0.006905	0.003122	0.022245	0.006833	0.014531	0.004079	0.004291	0.014459	0.008038	0.008744	0.020105	0.016032	0.009043	0.015125	0.029443	0.021762	0.011108	0.014025
GCF_000163175.1_ASM16317v1_genomic.fna	9.7e-05	0.001063	0	0	0	0	0	0	0	0	0	0.001764	0.001756	0.000111	0	0	0	0	0	0	0	0	0	0	0	0.000227	0	0	0.001688	0	0	0	0	0	0.000725	0	0	0	0.000509	5e-06	0.001335	0	0	0	0	0.001495	0	0.00097	0	1.8e-05	0	0.002917	0	0	0.001504	0	0	0	0	0
GCF_000163195.1_ASM16319v1_genomic.fna	0.00114	0.001825	0.001014	0.000866	0.000818	0.001826	0	0.001812	0.001377	0.00026	0	0.001181	0.000434	0.000353	0.000989	3.5e-05	0	0.001623	0.000574	0.001042	0.000706	0.000121	0.000742	0.001307	0	0	0	0.002666	0	0	0.002566	0	0	0	0.001073	0.00014	0.001352	0.000735	0.000161	0	0.001951	0.001315	0	0	0.001292	0	0.000363	0	0.000565	0.00171	0.00255	0.000262	0.000938	0.001276	0.001316	0.00145	0	0.001693	0	0.000433
GCF_000167875.1_ASM16787v1_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000167915.2_ASM16791v2_genomic.fna	0.001646	0.004809	0.004402	0.005395	0.008489	0	0.014085	0.004718	0.001951	0.001964	0.016032	0.012528	0.009458	0.005129	0.008628	0.01336	0.008014	0.004697	0	0.000575	0.002544	0.005671	0.005868	0.004253	0.002876	0.013061	0.010552	0.006227	0.006728	0.004263	0.011169	0.008621	0.004268	0.005869	0.00538	0.018965	0.00124	0.003925	0.002243	0.012774	0.005302	0.007184	0.009049	0.001832	0.002052	0.006209	0.006235	0.003936	0.001967	0.004986	0.006839	0.003757	0.000576	0.005616	0.013637	0.005547	0.003169	0.00677	0.01077	0.013548
GCF_000176555.2_ASM17655v2_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000176575.2_ASM17657v2_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000176615.2_ASM17661v2_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000872	0	0	0	0	0	0.001374	0	0	0	0	0.000368	0	0	0	0	0	0	0.000702	0	0	0	0	0	0	0.000102	0	0.001718	0	0
GCF_000176655.2_ASM17665v2_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000188855.1_ASM18885v2_genomic.fna	3e-06	0	0	0.004026	0.001295	0.001404	0	0.000467	0	0.007623	0	0	0.001362	0.002295	1.3e-05	0	0.00012	0	0	0	0	0.000563	0.000623	0.005886	0	0	0	0.002166	0	0.006211	0	0	0	9.3e-05	0	0	0.004888	0.006142	0	0	0.004766	0	0	0.004916	0.000688	0	0	0	0.003003	0.00366	0	0	0.005759	0.004545	0.002498	0.00149	0.003495	0.00093	0	6e-06
GCF_000190815.1_ASM19081v1_genomic.fna	0	0.002224	0.002184	0	0	0.008041	0	0.001125	0	0.003715	0.001594	0.002812	0.001534	0	0	0.002507	0	0.003463	0.004226	0	0	0.003672	0	0	0.000198	0	0	0.003333	0	0	0	0	0.000911	0.004648	0	0	0	0	0.001084	0	0	0.000829	0	0	0.00068	0.002686	0	0	0	0.002195	0	0	0	0	0.000275	0	0.001363	0	0	0
GCF_000190835.1_ASM19083v1_genomic.fna	0.011425	0.013566	0.018665	0.017148	0.019883	0.007792	0.011731	0.011952	0.008881	0.012831	0.019924	0.016046	0.008571	0.012242	0.014702	0.023216	0.018888	0.009806	0.011444	0.009243	0.012594	0.009819	0.010941	0.024009	0.007173	0.010094	0.017325	0.015358	0.012492	0.014376	0.015851	0.019457	0.020272	0.012861	0.007415	0.008514	0.013383	0.018431	0.008662	0.009217	0.011976	0.007157	0.015529	0.006916	0.021729	0.013899	0.018453	0.008974	0.01536	0.016622	0.011932	0.015405	0.010134	0.003341	0.007744	0.014171	0.013104	0.010011	0.008609	0.014494
GCF_000190955.1_ASM19095v1_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000190995.1_ASM19099v1_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000193975.1_ASM19397v2_genomic.fna	0	0	0	0	0	0.000855	0.000986	0	0	0.00052	0	0	0	0	0	0	0	0	0.001425	0	0	0	0	0	0	0	0	0	0	0.000879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000194415.1_ASM19441v2_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000194685.1_ASM19468v2_genomic.fna	0.000854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000768	0	0	0	0.001007	0
GCF_000219515.1_ASM21951v2_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000299	0	0	0	0	0	0	0	0	0	0.000146	0
GCF_000225125.1_ASM22512v2_genomic.fna	0	0	0	0.003261	0.001331	0.000262	0.003915	0	0	0.0046	0.001284	0.003175	0	7.3e-05	0.002974	0.000456	0.000458	0	0	0	0.000109	0	0	0.000273	0	0.000848	0.003322	0.000247	0	0	0	0	0	0.000235	0	0	0.002864	0	0	0.001454	0	0	0.002231	0	0.001439	0.000853	0	0	0	0.003324	0	0.000449	0.00131	0	0.002994	0.002286	0	0.003606	0.001895	0
GCF_000225205.1_ASM22520v2_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000234255.2_ASM23425v3_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000241995.1_Esch_coli_E101_V1_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.6e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000242015.1_Esch_coli_B093_V1_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000242055.1_Esch_coli_TA124_V1_genomic.fna	0.000296	0	0	0	0.002176	0	0	0.000354	0	0.000373	0	0.000166	0	0	0.001022	0.002374	0.001341	0	0.001352	0.001707	0	0	0	0.000441	0	0	0	0.000831	0.000372	5.2e-05	0	0.000236	0	0	0.000486	0.001004	0	0	0	0.00128	0	0.000395	0	1.3e-05	0.000882	0	0	0.000566	0.000194	9.6e-05	0	0	0.000355	0	0	0	0.002496	0	0	0.000698
GCF_000249175.1_ASM24917v2_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000249535.1_ASM24953v2_genomic.fna	0.000765	0	0	0	0	0	0	0	0	0	0	9.7e-05	0	0	0	0	0	0	0	0.000657	0.000773	0	0	0	0	0	0	0	0	0.000106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000312	0	0.000479	0	0	0	0	0	0	0	0	0	0	0
GCF_000249715.1_ASM24971v2_genomic.fna	1.4e-05	0	0	0.003397	0	0	0	0	0	0	0	0	0	0	0	0	0.002585	0	0	0	0.000468	0	0	0.002433	0.004739	0	0	0	0	0	0	0	0	0	0	0	0.001425	0.003559	0	0	0	0	0	0	0.001925	0.002283	0	2.9e-05	6e-05	0.001334	0	0	0	0	0	0.000344	0	0	0	0
GCF_000250075.1_ASM25007v2_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.8e-05	0	0	0	0	0	0	0	0	0.000595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000250555.1_ASM25055v2_genomic.fna	0	0	0	0.002571	0	0.000517	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001375	0	0	0	0.002118	0.00323	0	0	0	0	0	0	0	0	0	0	0	0	0.000281	0	0	0	0	0.000578	0	0	0.000324	0	0	0	0	0.000151	0	0.003311	0	0	0	0	0	0	0
GCF_000252805.1_ASM25280v2_genomic.fna	0.000104	0	0.000926	0	9.9e-05	0	0	0	0	0	0	0	0.001442	0.00096	0	0.001541	0	0	0	0	0	0	0	0	0	0.000899	0	0	0.001429	0	0	0	0	0	0	0	0	0.001162	0	0.002697	0	0.000518	0	0	0	0	0	0	0	0	0	0	0	0.001053	0.001042	0	0	0	0	0
GCF_000258145.1_ASM25814v1_genomic.fna	0	0.0032	0	0.000982	0	0	0	9.5e-05	0	0	0.000432	0	0.002609	0	0	0	0	0	0	0	0.001153	0.000375	0	0	0	0.00097	0.001457	0	0	0.002437	0	0.004268	0.005672	0.002753	0.0068	0	0	0.001943	0.003495	0	0	0	0.000377	0.000961	0	5.8e-05	0	0	0.000323	0	0.000849	0.002704	0	0.000776	0.001698	0	0	0	0.001602	0
GCF_000259135.1_ECAI27.hybrid.1_genomic.fna	0.000366	0.001789	0	0.000464	0	0	0	0	0	0	0	0	0	0	0	0	0.000207	0	0	0	0	0.002829	0.001112	0.001582	0	0	0	0	0	0	0	0	0.003104	0.00336	0.003382	0	0.001409	0.000277	0.000705	0	0	0	0	0	0	0	0	0	0.000724	0	6.9e-05	0	0	0	0	0	0.003987	0	0	0
GCF_000261145.1_Esch_coli_M919_V2_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000264095.1_ASM26409v1_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000264115.1_ASM26411v1_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000264215.1_ASM26421v1_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000264235.1_ASM26423v1_genomic.fna	0.005441	0	0.004797	0.009623	0.005915	0.009354	0	0.00513	0.000489	0.009073	0.002665	0.003733	0	0.00075	0	0.005726	0.003358	0.0026	0.005225	0	0.003112	0.002108	0	0.008423	0	0.008593	0	0.007963	0.005098	0.000574	0.000768	0.002807	0	0.001351	0.000387	0.001096	0.005697	0.007015	0.009742	0.004186	0.00323	0.004802	0	0	0.012867	0.001252	0.000553	0.001991	0	0.003225	0.004555	0.004465	0.004797	0.00365	0	0.002037	0.010857	0.002837	0	0.001708
GCF_000284495.1_ASM28449v1_genomic.fna	0.000118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000303635.1_ASM30363v1_genomic.fna	0	0.000314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000326185.1_Esch_coli_KTE109_V1_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001479	0	0	0	0	0	0
GCF_000326685.1_Esch_coli_KTE138_V1_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
