OTU	C1_WGSerr_r0.sorted.bam	C18_WGSerr_r0.sorted.bam	C19_WGSerr_r0.sorted.bam	C2_WGSerr_r0.sorted.bam	C20_WGSerr_r0.sorted.bam	C3_WGSerr_r0.sorted.bam	C4_WGSerr_r0.sorted.bam	C5_WGSerr_r0.sorted.bam	C6_WGSerr_r0.sorted.bam	C7_WGSerr_r0.sorted.bam	C8_WGSerr_r0.sorted.bam	C10_WGSerr_r0.sorted.bam	C9_WGSerr_r0.sorted.bam	C11_WGSerr_r0.sorted.bam	C12_WGSerr_r0.sorted.bam	C13_WGSerr_r0.sorted.bam	C14_WGSerr_r0.sorted.bam	C15_WGSerr_r0.sorted.bam	C16_WGSerr_r0.sorted.bam	C17_WGSerr_r0.sorted.bam
GCF_000017745.1_ASM1774v1_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000027125.1_ASM2712v1_genomic.fna	0	0.002161	0	0	0	0	0.000288	0	0	0	0	0	0	0.001231	0	0	0	7.7e-05	0.001513	0.00026
GCF_000158395.1_ASM15839v1_genomic.fna	0	0	0	0	0	0	0	0.003048	0	0	0.000147	0	0	0	0	0	0	0	0	0
GCF_000163175.1_ASM16317v1_genomic.fna	0	0	0	0	0	0	0	0.001772	0	0.00185	0	0	0	0	0.004746	0	0	0	0.002153	0
GCF_000163195.1_ASM16319v1_genomic.fna	0	0	0	0	0.004601	0.000568	0	0.001718	0.001071	0	0.000802	0	0	0	0	0	0	0.000831	0	0
GCF_000167875.1_ASM16787v1_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000167915.2_ASM16791v2_genomic.fna	0.013022	0.006952	0	0.004937	0	0	0.007918	0.009991	0.016174	0.012966	0.013542	0.001328	0.004984	0.007016	0	0.012748	0.002083	0.002927	0.016069	0.000581
GCF_000176555.2_ASM17655v2_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000176575.2_ASM17657v2_genomic.fna	0.001387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000176615.2_ASM17661v2_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000729	0
GCF_000176655.2_ASM17665v2_genomic.fna	0	0.001847	0.000792	0	0	0	0	0	0	0	0.000751	0	0	0	0.00025	0	0	0	0	0
GCF_000188855.1_ASM18885v2_genomic.fna	0	0	0.000206	0	0	0	0	0	0	0	0	0	0	0.001228	0	0	0	0	0	0
GCF_000190815.1_ASM19081v1_genomic.fna	0	0.012898	0	0	0	0	0	0	0	0	0	0.012623	0.002396	0	0	0	0	0	0	0.004476
GCF_000190835.1_ASM19083v1_genomic.fna	0.011178	0.011764	0	0.013621	0	0.010466	0.021139	0.018169	0	0	0.010381	0.019945	0.002329	0.012344	0.004386	0.015129	0.019291	0.005833	0.018458	0
GCF_000190955.1_ASM19095v1_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000190995.1_ASM19099v1_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000193975.1_ASM19397v2_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0.001707	0	0	0	0	0	0	0	0
GCF_000194415.1_ASM19441v2_genomic.fna	0	0	0	0	0	0	0	0.000679	0.006381	0	0	0	0	0	0	0	0	0	0	0
GCF_000194685.1_ASM19468v2_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000219515.1_ASM21951v2_genomic.fna	0	0	0.001487	0	0	0	0	0	0	0.000437	0	0	0	0	0	0	0	0	0	0
GCF_000225125.1_ASM22512v2_genomic.fna	0	0	0	0	0	3.9e-05	0.000264	0	0	0	0	0	0	0	0	0	0.002405	0	0	0
GCF_000225205.1_ASM22520v2_genomic.fna	0	0	0	0	0	0	0	0.001856	0	0	0	0	0	0	0	0	0	0.000116	0	0
GCF_000234255.2_ASM23425v3_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000241995.1_Esch_coli_E101_V1_genomic.fna	0	0	0.000159	0.001113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000477	0
GCF_000242015.1_Esch_coli_B093_V1_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000242055.1_Esch_coli_TA124_V1_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001538	0	0	0	0	0	0
GCF_000249175.1_ASM24917v2_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004496	0	0	0	0	0	0
GCF_000249535.1_ASM24953v2_genomic.fna	0	0.002807	0	0	0	0	0	0.000192	0	0	0.002726	0	0	0	0	0.00321	0	0	0	0.000939
GCF_000249715.1_ASM24971v2_genomic.fna	0	0	0	0	0	0	0	0	0	0	0.005034	0	0	0	0.00465	0	0.001434	0.003057	0	0
