OTU	C1_WGSerr_r0.sorted.bam	C18_WGSerr_r0.sorted.bam	C19_WGSerr_r0.sorted.bam	C2_WGSerr_r0.sorted.bam	C20_WGSerr_r0.sorted.bam	C3_WGSerr_r0.sorted.bam	C4_WGSerr_r0.sorted.bam	C5_WGSerr_r0.sorted.bam	C6_WGSerr_r0.sorted.bam	C7_WGSerr_r0.sorted.bam	C8_WGSerr_r0.sorted.bam	C10_WGSerr_r0.sorted.bam	C9_WGSerr_r0.sorted.bam	C11_WGSerr_r0.sorted.bam	C12_WGSerr_r0.sorted.bam	C13_WGSerr_r0.sorted.bam	C14_WGSerr_r0.sorted.bam	C15_WGSerr_r0.sorted.bam	C16_WGSerr_r0.sorted.bam	C17_WGSerr_r0.sorted.bam
GCF_000017745.1_ASM1774v1_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000027125.1_ASM2712v1_genomic.fna	0	0.001654	0	0	0.000243	0.002577	0	0	0	0	0	0.002488	0.001481	0.000821	0.004056	0	0.002704	0	0	0.002589
GCF_000158395.1_ASM15839v1_genomic.fna	0.015288	0.005814	0	0.021501	0	0.004994	0.003657	0.020025	0.013032	0.012166	0.016756	0.000259	0.018551	0	0.009883	0.018407	0	0.003242	0.008912	0.000358
GCF_000163175.1_ASM16317v1_genomic.fna	0	0	0.002398	0	0	0	0	0.003138	0	0.001281	0	0	0.00225	0	0	0	0	0	0	0.001756
GCF_000163195.1_ASM16319v1_genomic.fna	0	0	0.000367	0	0	0.001311	0	0	0	0	0	0	0.0027	0.000533	0.002781	0	0	0	0	0.00134
GCF_000167875.1_ASM16787v1_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000167915.2_ASM16791v2_genomic.fna	9.4e-05	0.015184	0.007907	0.010069	0.007488	0.007463	0.004149	0.00348	0	0.009427	0	0	0.001379	0.007203	0.010785	0.007725	0.01579	0.011273	0.019033	0.004162
GCF_000176555.2_ASM17655v2_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000176575.2_ASM17657v2_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000176615.2_ASM17661v2_genomic.fna	0	0	0	0.005208	0.009274	0	0	0	0	0	0	0.002169	0.000281	0	0	0	0	0.004225	0.000466	0
